Direction,Pos
02_2301_2350a,Chr02_24605095_24930078
08_1_50b,Chr08_101224_368446
08_51_100b,Chr08_404934_772995
08_101_150b,Chr08_773076_1116717
08_151_200b,Chr08_1134977_1914708
08_201_250a,Chr08_1917318_2226692
08_251_300a,Chr08_2226702_2438245
08_301_350a,Chr08_2438318_2631045
08_351_400a,Chr08_2661620_2895280
08_401_450a,Chr08_2895388_3172726
08_451_500a,Chr08_3173461_3506715
08_501_550a,Chr08_3508389_3724402
08_551_600a,Chr08_3724916_4437607
08_601_650a,Chr08_4438715_4736910
08_651_700a,Chr08_4736959_4947169
08_701_750b,Chr08_5003493_5442710
08_751_800b,Chr08_5442721_5943559
08_801_850b,Chr08_5945219_6255095
08_851_900b,Chr08_6255097_6615918
08_901_950b,Chr08_6654724_6947527
08_951_1000b,Chr08_6948373_7345363
08_1001_1050b,Chr08_7345475_7872006
08_1051_1100b,Chr08_7872057_8265841
08_1101_1150b,Chr08_8266803_8697591
08_1151_1200b,Chr08_8697597_9012879
08_1201_1250b,Chr08_9013083_9513851
08_1251_1300b,Chr08_9514099_9934845
08_1301_1350b,Chr08_9937584_10244495
08_1351_1400b,Chr08_10245994_10567767
08_1401_1450b,Chr08_10568025_10841073
08_1451_1500b,Chr08_10854645_11496571
08_1501_1550b,Chr08_11496582_11741320
08_1551_1600b,Chr08_11762644_12211631
08_1601_1650b,Chr08_12213544_12470639
08_1651_1700b,Chr08_12470642_13327568
08_1701_1750b,Chr08_13327728_13510559
08_1751_1800b,Chr08_13510562_13825445
08_1801_1850b,Chr08_13830627_14409948
08_1851_1900b,Chr08_14427334_16782115
08_1901_1950b,Chr08_16783604_19251001
05_1_50a,Chr05_2515_288249
05_51_100a,Chr05_288444_1579332
05_101_150a,Chr05_1579335_1834511
05_151_200a,Chr05_1837652_2511960
05_251_300a,Chr05_3272535_3635611
05_301_350a,Chr05_3635921_4054283
05_351_400a,Chr05_4057535_4606484
05_401_450a,Chr05_4637360_5064032
05_451_500a,Chr05_5064699_5498144
05_501_550a,Chr05_5499307_5798781
05_551_600a,Chr05_5798916_6177078
05_601_650a,Chr05_6201055_6655882
05_651_700a,Chr05_6657365_7038766
05_701_750a,Chr05_7054562_7230398
05_751_800a,Chr05_7304885_7739933
05_801_850a,Chr05_7740027_8148761
05_851_900a,Chr05_8148764_8359668
05_901_950a,Chr05_8359705_8888565
05_951_1000a,Chr05_8888643_9059972
05_1001_1050a,Chr05_9060150_9570915
05_1051_1100a,Chr05_9571309_9621664
05_1101_1150a,Chr05_9621693_10009761
05_1151_1200a,Chr05_10009769_11348159
05_1201_1250a,Chr05_11348500_11735710
05_1251_1300a,Chr05_11735765_12546781
05_1301_1350a,Chr05_12546884_16402760
05_1351_1400a,Chr05_16425492_17986734
05_1401_1450a,Chr05_17987265_18961043
05_1451_1500a,Chr05_19100585_19435330
05_1501_1550a,Chr05_19435409_20528530
05_1551_1600a,Chr05_20536362_21011933
05_1601_1650a,Chr05_21012821_21240746
05_1651_1700a,Chr05_21240791_21874159
05_1701_1750a,Chr05_21874274_22113286
05_1751_1800a,Chr05_22113584_22423702
05_1801_1850a,Chr05_22423707_22742564
05_1851_1900a,Chr05_22743654_23098326
03_151_200a,Chr03_3711278_3985383
03_201_250a,Chr03_4022356_5160163
03_251_300a,Chr03_5160230_7494488
03_301_350a,Chr03_7542574_7857580
03_351_400a,Chr03_7860859_8693267
03_401_450a,Chr03_8711304_9554353
03_451_500a,Chr03_9554467_10015418
03_501_550a,Chr03_10044502_10553086
03_551_600a,Chr03_10553118_10823280
03_601_650a,Chr03_10823395_11231975
03_651_700a,Chr03_11242451_11455661
03_701_750a,Chr03_11473950_11690968
03_751_800a,Chr03_11712167_12092994
03_801_850a,Chr03_12093158_12255515
03_851_900b,Chr03_12255539_12568873
03_901_950b,Chr03_12605685_12952113
03_951_1000a,Chr03_12952131_13120941
03_1001_1050a,Chr03_13120966_13379369
03_1051_1100a,Chr03_13379402_13720749
03_1101_1150a,Chr03_13720798_14394868
03_1151_1200a,Chr03_14416964_14600863
03_1201_1250a,Chr03_14601328_14909568
03_1251_1300a,Chr03_14909791_15356103
03_1301_1350a,Chr03_15356237_15592652
03_1351_1400a,Chr03_15592825_15908853
03_1401_1450a,Chr03_15909515_16203811
03_1451_1500a,Chr03_16204512_16984627
03_1501_1550a,Chr03_16985747_17291056
03_1551_1600a,Chr03_17307035_17746691
03_1601_1650a,Chr03_17746858_18204295
03_1651_1700a,Chr03_18204351_18611955
03_1701_1750a,Chr03_18615501_18887321
03_1751_1800a,Chr03_18887467_19748608
03_1801_1850a,Chr03_19748848_20081213
03_1851_1900a,Chr03_20081359_20884754
03_1951_2000b,Chr03_21395440_21733840
04_1_50a,Chr04_60036_1120992
04_51_100a,Chr04_1121054_2301948
04_101_150a,Chr04_2320307_2732249
04_151_200b,Chr04_2791762_3125774
04_201_250a,Chr04_3125955_3381637
04_251_300a,Chr04_3383587_3870205
04_301_350a,Chr04_3870237_4548440
04_351_400a,Chr04_4548634_5537021
04_401_450a,Chr04_5537278_6077655
04_451_500a,Chr04_6087547_6546036
04_501_550a,Chr04_6546048_7274432
04_551_600b,Chr04_7291672_8083876
04_601_650b,Chr04_8083949_9129528
04_651_700b,Chr04_9129655_10121290
04_701_750b,Chr04_10121375_11084467
04_751_800b,Chr04_11087116_14781089
04_801_850b,Chr04_14791725_15536200
04_851_900b,Chr04_15546296_16342378
04_901_950b,Chr04_16342417_16736054
04_951_1000b,Chr04_16741815_17511125
04_1001_1050b,Chr04_17511613_17921461
04_1051_1100b,Chr04_17921479_18141773
04_1101_1150b,Chr04_18142279_18484638
04_1151_1200b,Chr04_18484668_18803726
04_1201_1250b,Chr04_18804018_19311643
04_1251_1300a,Chr04_19311826_19568530
04_1301_1350a,Chr04_19573462_20310462
04_1351_1400a,Chr04_20311266_20810570
04_1401_1450a,Chr04_20810626_21217567
04_1451_1500a,Chr04_21217806_21457637
04_1501_1550a,Chr04_21458226_21919013
04_1551_1600a,Chr04_21952211_22408817
04_1601_1650a,Chr04_22408907_22985300
04_1651_1700a,Chr04_22989506_23292518
04_1701_1750a,Chr04_23292947_23481279
04_1751_1800a,Chr04_23482703_24214031
10_51_100a,Chr10_434013_1711129
10_101_150a,Chr10_1711168_3542245
10_151_200a,Chr10_3662148_6243166
10_201_250a,Chr10_6243211_7243537
10_251_300a,Chr10_7330960_7674541
10_301_350a,Chr10_7674575_8220315
10_351_400a,Chr10_8220329_8522750
10_401_450a,Chr10_8523592_8770291
10_451_500a,Chr10_8770321_9244054
10_501_550a,Chr10_9244061_9493540
10_551_600a,Chr10_9494146_9991263
10_601_650a,Chr10_9991317_10364520
10_651_700a,Chr10_10369623_10951436
10_701_750a,Chr10_10954634_11169121
10_851_900b,Chr10_11691011_11939912
10_901_950b,Chr10_11941050_12220906
10_951_1000b,Chr10_12223120_12737276
10_1001_1050b,Chr10_12749775_13134223
10_1051_1100b,Chr10_13156851_13451170
10_1101_1150b,Chr10_13451613_13907596
10_1151_1200b,Chr10_14072945_14249816
10_1201_1250b,Chr10_14249938_14623828
10_1251_1300b,Chr10_14625744_15367461
10_1301_1350b,Chr10_15367996_15634463
10_1351_1400b,Chr10_15642356_15942584
10_1401_1450b,Chr10_15948553_16076197
10_1451_1500b,Chr10_16078941_16529642
10_1501_1550b,Chr10_16529976_16759825
10_1551_1600b,Chr10_16796430_17189827
10_1601_1650b,Chr10_17196980_17349872
10_1651_1700b,Chr10_17350826_17678292
10_1701_1750b,Chr10_17678729_17995751
09_1_50a,Chr09_681712_1657215
09_51_100a,Chr09_1659697_2524835
09_101_150a,Chr09_2525324_3015437
09_151_200a,Chr09_3016231_3996539
09_201_250a,Chr09_3996555_4584427
09_251_300a,Chr09_4584459_4859483
09_301_350a,Chr09_4859487_5102322
09_351_400a,Chr09_5114398_5305771
09_401_450a,Chr09_5305798_5668499
09_451_500a,Chr09_5682450_6011837
09_501_550a,Chr09_6012282_6267404
09_551_600a,Chr09_6285530_6535903
09_601_650a,Chr09_6600553_6995539
09_651_700a,Chr09_6995566_7276742
09_701_750a,Chr09_7276855_7694891
09_751_800a,Chr09_7716498_7964384
09_801_850a,Chr09_7965330_8410217
09_851_900a,Chr09_8412237_8704163
09_901_950a,Chr09_8704219_8855810
09_951_1000a,Chr09_8858935_9158074
09_1001_1050a,Chr09_9158277_9740089
09_1051_1100a,Chr09_9740769_10075032
09_1101_1150a,Chr09_10075201_10262776
09_1151_1200a,Chr09_10262849_10506910
09_1201_1250a,Chr09_10506957_10796972
14_401_450a,Chr14_5845788_6340195
14_451_500a,Chr14_6340690_6552446
14_501_550a,Chr14_6553381_7316177
14_551_600a,Chr14_7316570_7724926
14_601_650a,Chr14_7727510_7987605
14_651_700a,Chr14_7987825_8513552
14_701_750a,Chr14_8514002_8806514
14_751_800a,Chr14_8810062_9158977
14_801_850a,Chr14_9161801_9326701
14_851_900b,Chr14_9326713_9665838
14_901_950b,Chr14_9665936_9853852
14_951_1000a,Chr14_9854530_10253511
14_1001_1050a,Chr14_10253530_10678164
14_1051_1100a,Chr14_10678350_10916359
14_1101_1150a,Chr14_10916400_11093510
14_1151_1200a,Chr14_11095289_11293519
14_1201_1250a,Chr14_11293643_12015383
14_1251_1300a,Chr14_12017379_12235874
14_1301_1350a,Chr14_12236034_12574692
14_1351_1400a,Chr14_12574975_13033180
14_1401_1450a,Chr14_13033579_13519832
14_1451_1500a,Chr14_13588000_14131518
14_1501_1550a,Chr14_14131763_17402628
14_1551_1600a,Chr14_17403195_18837130
14_1601_1650a,Chr14_18837675_18839227
07_1_50a,Chr07_35798_552383
07_51_100a,Chr07_552532_781647
07_101_150a,Chr07_781668_1005195
07_151_200a,Chr07_1005277_1148396
07_201_250a,Chr07_1153075_1471140
07_251_300a,Chr07_1496676_1745729
07_301_350a,Chr07_1765718_2000835
07_351_400a,Chr07_2001234_2343387
07_401_450a,Chr07_2343395_2687983
07_451_500a,Chr07_2691699_3650036
07_501_550a,Chr07_3654654_4315555
07_551_600a,Chr07_4315605_5052959
07_601_650a,Chr07_5055474_6148101
07_651_700a,Chr07_6273645_9045101
07_701_750a,Chr07_9052321_9486331
07_751_800a,Chr07_9489276_10182001
07_801_850a,Chr07_10264469_10454046
07_851_900a,Chr07_10460014_11091814
07_901_950a,Chr07_11110049_11951968
07_951_1000a,Chr07_11952475_12221579
07_1001_1050a,Chr07_12221755_12622370
07_1051_1100a,Chr07_12626705_13476020
11_1_50a,Chr11_2087760_3749594
11_51_100a,Chr11_3751278_4214428
11_101_150a,Chr11_4237245_5056589
11_151_200a,Chr11_5086854_5934882
11_201_250a,Chr11_5977448_6905641
11_251_300a,Chr11_7452295_8020632
11_301_350a,Chr11_8039698_10435704
11_351_400a,Chr11_10539603_11217528
11_401_450a,Chr11_11222051_11873257
11_451_500a,Chr11_11885837_12945810
11_501_550a,Chr11_12945837_13707760
11_551_600a,Chr11_13771001_14510609
11_601_650a,Chr11_14608072_15447105
11_651_700a,Chr11_15449826_15892245
11_701_750a,Chr11_15924604_16224244
11_751_800a,Chr11_16224245_16416314
11_801_850a,Chr11_16419376_16779896
11_851_900a,Chr11_16780328_17286413
11_901_950a,Chr11_17286634_18210156
11_951_1000a,Chr11_18210531_18423719
15_1_50a,Chr15_26959_470088
15_51_100a,Chr15_470679_827920
15_101_150a,Chr15_828221_1498904
15_151_200a,Chr15_1499486_2420658
15_201_250a,Chr15_2468412_3099990
15_251_300a,Chr15_3100059_9985282
15_301_350a,Chr15_9986269_10313817
15_351_400a,Chr15_10314302_10800904
15_401_450a,Chr15_10840854_11211755
15_451_500a,Chr15_11211840_11468992
15_501_550a,Chr15_11469034_11624350
15_551_600a,Chr15_11624595_12028104
15_601_650a,Chr15_12028259_12633725
15_651_700a,Chr15_12634104_13605229
15_701_750a,Chr15_13605299_13887512
15_751_800a,Chr15_13887531_14038264
15_801_850a,Chr15_14038321_14255029
15_851_900a,Chr15_14255484_14694188
15_901_950a,Chr15_14703090_15024611
15_951_1000a,Chr15_15086672_15256862
13_251_300a,Chr13_3030290_3328519
13_301_350a,Chr13_3328579_3556160
13_351_400a,Chr13_3559501_4284563
13_401_450a,Chr13_4284747_4777538
13_451_500a,Chr13_4778551_5514213
13_501_550a,Chr13_5519594_6074397
13_551_600a,Chr13_6074586_6768544
13_601_650a,Chr13_6786231_7283961
13_651_700a,Chr13_7283963_8075687
13_701_750a,Chr13_8075802_10852213
13_751_800a,Chr13_10852312_11905265
13_801_850a,Chr13_11907980_12469610
13_851_900a,Chr13_12469611_12885351
13_901_950a,Chr13_12930799_13250706
13_951_1000a,Chr13_13264759_14060691
13_1001_1050a,Chr13_14060751_14471572
13_1051_1100a,Chr13_14471617_15244868
13_1101_1150a,Chr13_15270345_15749505
13_1201_1250a,Chr13_15894487_16310302
18_1_50a,Chr18_26773_210756
18_51_100a,Chr18_275553_1218979
18_101_150a,Chr18_1219632_1399998
18_151_200a,Chr18_1427100_1845502
18_201_250a,Chr18_1848046_2217763
18_251_300a,Chr18_2243788_2512099
18_301_350a,Chr18_2530567_3141913
18_351_400a,Chr18_3143259_4396420
18_401_450a,Chr18_4396538_5764833
18_451_500a,Chr18_5765952_6240888
18_501_550a,Chr18_6240903_8462534
18_551_600a,Chr18_8472581_8889396
18_601_650a,Chr18_8890185_10518711
18_651_700a,Chr18_10519673_13066996
18_701_750a,Chr18_13070333_13297679
18_751_800a,Chr18_13297874_13613900
18_801_850a,Chr18_13617298_13869509
18_851_900a,Chr18_13871002_14694183
16_51_100a,Chr16_4143892_4316880
16_101_150a,Chr16_4321320_4726150
16_151_200a,Chr16_4726258_5896916
16_201_250a,Chr16_5943332_6288240
16_251_300a,Chr16_6288345_6717011
16_301_350a,Chr16_6717454_7460345
16_351_400a,Chr16_9723830_10543708
16_401_450a,Chr16_10562252_11931207
16_451_500a,Chr16_11963032_12300660
16_501_550a,Chr16_12300758_12792048
16_551_600a,Chr16_12792100_13724757
16_601_650a,Chr16_13725265_14100109
16_651_700a,Chr16_14100508_14366150
16_701_750a,Chr16_14377112_14435194
17_151_200a,Chr17_4946698_5386480
17_201_250a,Chr17_5386482_8216439
17_251_300a,Chr17_8218066_9184678
17_301_350a,Chr17_9187852_10189170
17_351_400a,Chr17_10189239_10757372
17_401_450a,Chr17_10757478_11012205
17_451_500a,Chr17_11013136_11760944
17_501_550a,Chr17_11818089_12457546
17_551_600a,Chr17_12473446_12721911
17_601_650a,Chr17_12722135_13641987
17_651_700a,Chr17_13642795_14062775
17_701_750a,Chr17_14063490_14459882
17_751_800a,Chr17_14460204_15481961
19_51_100a,Chr19_2249226_2767713
19_101_150a,Chr19_2800808_3557828
19_151_200a,Chr19_3647623_4556444
19_301_350b,Chr19_8359965_9044468
19_351_400b,Chr19_9044828_10172755
19_401_450b,Chr19_10241638_11215606
19_451_500b,Chr19_11279418_11662300
19_501_550b,Chr19_11663086_12077818
12_51_100a,Chr12_3307063_3468358
12_101_150a,Chr12_3468454_4659260
12_151_200a,Chr12_4659946_6033798
12_201_250a,Chr12_6033978_9533551
12_251_300a,Chr12_9535146_10287389
12_301_350a,Chr12_10287554_11262862
12_351_400a,Chr12_11263980_11569998
